County name,Child Mo_1,Life Expec,HIV Preval,Drug Overd,Insufficient Sleep,Homicide R,Homeowners,Population,65 and over,Rural
Emporia city,179,67.3,473,0,44,0,40,5481,19.8,5
Petersburg city,153,64.9,1165,99,44,46,37,33394,17.1,2.7
Franklin city,147,67.9,377,0,41,0,56,8247,19,3.9
Essex County,137,73.8,226,31,40,0,65,10630,24.3,100
Sussex County,134,72.4,572,0,42,0,69,10680,19,100
Greensville County,120,72.3,588,0,44,0,70,11226,16.1,87.8
Danville city,118,69.4,506,36,42,25,49,42229,21.4,3.2
Nottoway County,109,73.7,607,24,41,0,71,15559,18.4,100
Lunenburg County,99,73.7,330,0,39,0,70,12031,23.3,100
Floyd County,98,77.6,148,0,34,0,86,15619,24.6,100
Portsmouth city,98,72.1,797,56,44,21,56,97029,15.4,0
Richmond city,97,75,883,66,35,22,43,229395,14.6,0
Pittsylvania County,95,75.3,177,28,37,5,77,59952,24.9,89.1
Buckingham County,90,75.9,378,0,39,0,75,16982,20.4,100
Southampton County,90,76.2,261,0,37,0,77,17932,22.2,98.2
Accomack County,89,74.1,373,28,39,15,67,33191,26.3,90.4
Mecklenburg County,84,73.9,270,31,38,8,71,30508,27.2,83.3
Roanoke city,83,71.4,507,67,37,13,52,97847,18.1,0
Hopewell city,83,68.5,473,73,44,18,54,22962,15.9,0
Norfolk city,81,74,957,33,41,15,45,232995,13.1,0
Halifax County,80,72.8,270,37,39,8,73,33644,25.7,78.2
Appomattox County,80,77.6,145,0,37,0,78,16748,21.1,100
Henry County,75,72.1,149,67,40,7,73,49906,25.2,65.1
Hampton city,72,75,561,34,41,15,56,138037,16.7,0.3
Newport News city,71,74.6,597,31,38,14,48,184306,14.1,0.4
Winchester city,71,75.3,287,44,36,0,44,27936,17.4,0
Washington County,70,75,89,19,33,3,75,53958,24.9,69.2
Lynchburg city,70,74.1,363,28,36,5,49,79287,14.5,1.6
Warren County,69,75.1,177,49,36,0,74,41440,17.7,60.2
Franklin County,67,76.7,127,35,32,8,80,55074,25.2,90.1
Bristol city,67,73.6,178,27,37,0,63,16975,22.9,1
Louisa County,67,76.5,141,38,36,5,80,40116,21.2,100
Powhatan County,66,78.7,228,35,33,0,91,31489,20.1,98.1
King William County,63,75.3,92,40,38,0,86,18492,17.1,100
Smyth County,63,72.2,148,29,37,7,68,29449,23,75.6
Dinwiddie County,62,75.2,204,28,38,7,79,28161,19.4,71.7
Page County,62,74.6,68,35,35,0,72,23750,22.3,80
King George County,62,78.2,206,29,35,0,75,27856,14.4,100
Suffolk city,62,76,346,26,37,6,70,98537,15.3,27.1
New Kent County,60,77.2,150,28,33,0,92,24986,18.6,100
Orange County,59,76.5,183,36,36,0,78,37991,20.6,56.7
Rockingham County,59,79,105,13,32,2,75,85397,20.5,59.3
Amherst County,58,75.8,167,31,37,0,76,31589,22.4,62.4
Fredericksburg city,58,74.5,448,44,35,5,38,28757,11.9,0
Waynesboro city,57,74.4,282,31,36,0,57,22808,18.4,2.4
Colonial Heights city,55,72.5,270,40,36,8,66,18294,18.7,0
Henrico County,54,77.9,363,29,36,7,65,333962,17.1,3.7
Campbell County,53,77.1,172,16,38,5,74,55141,21.8,56.9
Augusta County,52,78.6,117,14,35,2,79,78064,22.9,84.3
Chesterfield County,52,78,240,31,36,6,77,378408,16.3,8
Prince George County,52,79.4,407,23,38,4,71,43134,13.9,49.1
Charlottesville city,51,78.7,406,18,34,4,42,45373,14,0
Chesapeake city,51,77.2,312,21,36,7,73,252488,14.6,7.7
Staunton city,51,75.3,276,13,35,0,59,25904,21.4,2.1
Russell County,50,73.8,41,14,37,0,75,25448,23.8,99.4
Virginia Beach city,50,79.2,308,20,34,5,65,455618,16,1.8
Wythe County,49,73.7,119,21,35,0,75,28111,22.4,74.7
Tazewell County,49,71.2,67,61,37,5,73,39821,23.7,52.3
Spotsylvania County,49,78.8,198,36,34,3,79,146688,15.3,32
Hanover County,48,78.3,132,25,32,2,83,112938,19.4,37
Alexandria city,48,82.5,846,15,34,3,43,155525,13.2,0
Pulaski County,46,73.8,78,44,36,0,70,33706,23.6,42.6
Manassas city,46,76.4,301,39,35,0,74,42642,11.4,0
Stafford County,45,79.4,188,24,36,4,80,163380,11.6,18.6
Gloucester County,45,76.6,158,23,37,0,79,39493,21,72.6
Fauquier County,45,79.5,155,23,33,4,77,74664,17.7,57.5
Roanoke County,45,78.5,121,27,32,3,76,96914,22.4,19.4
Prince Edward County,45,75,222,21,37,0,61,21927,16.9,66.7
Fairfax city,44,75.7,411,28,32,0,68,24835,14.3,0
James City County,43,82,67,15,31,3,78,81199,26.8,14.2
Albemarle County,43,81.9,210,12,30,2,67,114534,20.8,40.4
Harrisonburg city,42,78.6,180,14,37,3,38,51158,10.4,0.6
Culpeper County,42,77.8,240,33,35,3,74,54381,17.3,57.1
Salem city,41,74.5,186,39,34,6,64,25523,19.6,0
Isle of Wight County,40,77.8,236,18,37,4,78,40151,20.1,58.5
Caroline County,39,75.7,259,39,38,6,82,31957,17.3,100
Bedford County,38,77.8,92,22,34,3,84,80848,23.3,70.7
Prince William County,38,81,289,18,34,3,74,486943,11.3,4.6
York County,38,81.1,126,17,34,3,72,71341,18,7.1
Shenandoah County,37,76.9,87,23,36,0,73,44968,22.4,69.6
Wise County,34,71.1,127,41,38,4,70,35421,20.1,65.4
Frederick County,34,78.7,143,22,34,2,77,95051,19.1,39.4
Montgomery County,31,79.4,81,14,32,2,55,98915,14.3,26.1
Arlington County,30,84.7,592,11,28,1,42,234000,12,0
Fairfax County,30,84.9,283,10,31,2,69,1138331,15.1,1.5
Loudoun County,24,84.1,129,9,31,1,77,432085,10.8,11.9
Poquoson city,0,78.4,94,30,31,0,82,12582,19.5,8.9
Surry County,0,76.8,243,0,39,0,78,6527,25.5,100
King and Queen County,0,73.3,189,0,38,0,78,6718,23.9,100
Middlesex County,0,74,178,0,35,0,84,10943,33.1,100
Rappahannock County,0,78.4,198,54,33,0,75,7502,29,100
Covington city,0,69.3,313,0,37,0,75,5679,19.4,0.6
Buchanan County,0,72,80,31,40,0,82,19352,24.5,100
Alleghany County,0,73.6,107,22,37,0,83,14835,26.4,53.1
Northumberland County,0,77,194,36,35,0,89,12302,37.2,100
Craig County,0,75.9,116,0,34,0,81,4847,24.7,100
Falls Church city,0,77.4,348,27,30,0,56,14586,15.1,0
Goochland County,0,80.1,243,16,34,0,85,26109,24.9,92.7
Greene County,0,78.6,131,20,35,0,78,21107,19.2,100
Patrick County,0,73.5,77,49,35,0,79,17643,27.9,100
Madison County,0,78.1,83,25,34,0,79,14000,23.6,100
Charlotte County,0,71.8,164,54,39,0,69,11475,22.8,100
Radford city,0,76,93,0,36,0,46,16738,9.8,4.2
Buena Vista city,0,71.6,125,0,37,0,58,6591,19,2.2
Grayson County,0,76,132,0,39,0,81,15343,26,99.9
Giles County,0,72.8,84,24,34,0,78,16453,22.3,100
Scott County,0,73.9,58,28,36,0,79,21476,25.4,98.3
Charles City County,0,75.2,303,0,40,0,85,6605,27.1,100
Manassas Park city,0,85.3,232,21,35,0,63,16703,10,0
Carroll County,0,75.7,71,22,36,0,78,29147,26.2,97.6
Bath County,0,75.7,0,0,37,0,71,4049,29.6,100
Cumberland County,0,77.6,263,0,38,0,78,9746,23.6,93.3
Lexington city,0,76.3,0,0,34,0,53,7457,14.4,0
Clarke County,0,77.9,200,29,31,0,78,15266,23.2,100
Dickenson County,0,72.2,42,50,39,0,77,13725,24.6,100
Amelia County,0,73.4,158,43,37,0,84,13455,21.4,100
Botetourt County,0,78.3,101,27,35,0,87,34135,24.4,59.4
Norton city,0,69,0,0,37,0,53,3609,18.2,9.9
Williamsburg city,0,76.6,231,26,36,0,51,15909,17.6,0.1
Westmoreland County,0,76,191,36,39,0,77,18712,27.2,78.5
Rockbridge County,0,77.5,95,15,33,0,78,22593,27.7,90.1
Nelson County,0,77.6,207,0,34,0,79,14652,29.6,100
Martinsville city,0,66.7,364,60,41,13,55,13725,17.1,0.1
Fluvanna County,0,79.7,183,12,35,0,88,28159,21.7,63.9
Mathews County,0,76.2,210,0,33,0,84,8490,32.7,100
Galax city,0,66.2,146,0,37,0,71,6730,17.3,9.9
Bland County,0,75.7,144,0,36,0,85,6148,25.4,100
Lee County,0,72.8,104,22,39,0,72,21982,23.4,100
Northampton County,0,73.9,380,31,37,0,64,11900,29.5,100
Highland County,0,78.6,0,0,33,0,86,2301,37.9,100
Brunswick County,0,74.5,416,39,41,0,73,15921,22.5,100
Lancaster County,0,75.1,338,0,36,0,82,10750,38.6,100
Richmond County,0,76.7,390,0,41,0,69,9080,21.5,100
